puzzle_id,heuristic,time_seconds,backtracks,solved,empty_cells
43,mrv,0.004072427749633789,0,True,47
44,sequential,0.00014519691467285156,5,True,47
44,random,0.0585932731628418,10801,True,47
44,mrv,0.0044443607330322266,0,True,47
45,sequential,0.000347137451171875,74,True,48
45,random,0.212874174118042,39488,True,48
45,mrv,0.0041713714599609375,0,True,48
46,sequential,0.0008594989776611328,277,True,44
46,random,0.07965826988220215,14422,True,44
46,mrv,0.004168033599853516,0,True,44
47,sequential,0.00022339820861816406,35,True,47
47,random,0.06559920310974121,11651,True,47
47,mrv,0.004043102264404297,0,True,47
48,sequential,0.0002613067626953125,42,True,47
48,random,0.10783267021179199,19534,True,47
48,mrv,0.00405120849609375,0,True,47
49,sequential,0.0005304813385009766,126,True,43
49,random,0.22289824485778809,40590,True,43
49,mrv,0.0039730072021484375,0,True,43
50,sequential,0.0021250247955322266,640,True,47
50,random,1.500469446182251,273402,True,47
50,mrv,0.004441738128662109,0,True,47
51,sequential,0.00033974647521972656,79,True,45
51,random,0.019664525985717773,3536,True,45
51,mrv,0.004286050796508789,0,True,45
52,sequential,0.00017905235290527344,19,True,44
52,random,0.07907485961914062,14450,True,44
52,mrv,0.0037627220153808594,0,True,44
53,sequential,0.00037789344787597656,81,True,46
53,random,0.06650018692016602,11948,True,46
53,mrv,0.0040018558502197266,0,True,46
54,sequential,0.0007147789001464844,209,True,49
54,random,0.33207106590270996,59305,True,49
54,mrv,0.004433870315551758,0,True,49
55,sequential,0.0001583099365234375,10,True,43
55,random,0.09393548965454102,16935,True,43
55,mrv,0.003764629364013672,0,True,43
56,sequential,0.00015926361083984375,10,True,47
56,random,0.2963986396789551,54277,True,47
56,mrv,0.004176139831542969,0,True,47
57,sequential,0.0001430511474609375,4,True,47
57,random,0.050627946853637695,9305,True,47
57,mrv,0.004006624221801758,0,True,47
58,sequential,0.00017976760864257812,15,True,43
58,random,0.05179572105407715,9381,True,43
58,mrv,0.00391840934753418,0,True,43
59,sequential,0.00019168853759765625,21,True,45
59,random,0.01584911346435547,2729,True,45
59,mrv,0.003999948501586914,0,True,45
60,sequential,0.00019884109497070312,23,True,46
60,random,0.3436589241027832,60990,True,46
60,mrv,0.004179716110229492,0,True,46
61,sequential,0.0005517005920410156,129,True,47
61,random,0.07541227340698242,13337,True,47
61,mrv,0.0038814544677734375,0,True,47
62,sequential,0.00026416778564453125,49,True,48
62,random,0.24480843544006348,43856,True,48
62,mrv,0.004325389862060547,0,True,48
63,sequential,0.0002377033233642578,39,True,46
63,random,0.12186431884765625,21560,True,46
63,mrv,0.003930568695068359,0,True,46
64,sequential,0.00019073486328125,20,True,46
64,random,0.30823540687561035,55073,True,46
64,mrv,0.004436016082763672,0,True,46
65,sequential,0.0002682209014892578,41,True,47
65,random,0.05047249794006348,9078,True,47
65,mrv,0.004037618637084961,0,True,47
66,sequential,0.00018334388732910156,18,True,45
66,random,0.0012028217315673828,187,True,45
66,mrv,0.003651142120361328,0,True,45
67,sequential,0.0005776882171630859,167,True,44
67,random,0.07691240310668945,14098,True,44
67,mrv,0.003774881362915039,0,True,44
68,sequential,0.0002086162567138672,20,True,48
68,random,0.21003079414367676,36954,True,48
68,mrv,0.004507541656494141,0,True,48
69,sequential,0.00029921531677246094,54,True,45
69,random,0.2988240718841553,54378,True,45
69,mrv,0.0041217803955078125,0,True,45
70,sequential,0.00033211708068847656,72,True,46
70,random,0.18596124649047852,33045,True,46
70,mrv,0.004088401794433594,0,True,46
71,sequential,0.00018405914306640625,18,True,46
71,random,0.1683351993560791,30328,True,46
71,mrv,0.004168510437011719,0,True,46
72,sequential,0.0006668567657470703,171,True,46
72,random,0.28526997566223145,50640,True,46
72,mrv,0.004041194915771484,0,True,46
73,sequential,0.00012993812561035156,1,True,47
73,random,0.11920499801635742,21278,True,47
73,mrv,0.004053354263305664,0,True,47
74,sequential,0.00021505355834960938,31,True,43
74,random,0.0146484375,2537,True,43
74,mrv,0.0038204193115234375,0,True,43
75,sequential,0.00019359588623046875,20,True,47
75,random,0.08680224418640137,15287,True,47
75,mrv,0.003985881805419922,0,True,47
76,sequential,0.0004076957702636719,87,True,46
76,random,0.15000534057617188,26469,True,46
76,mrv,0.0042917728424072266,0,True,46
77,sequential,0.00018668174743652344,17,True,45
77,random,0.04059100151062012,7352,True,45
77,mrv,0.0037691593170166016,0,True,45
78,sequential,0.0005676746368408203,133,True,47
78,random,0.4083061218261719,72729,True,47
78,mrv,0.0040874481201171875,0,True,47
79,sequential,0.0013380050659179688,414,True,47
79,random,0.023986101150512695,4309,True,47
79,mrv,0.003954172134399414,0,True,47
80,sequential,0.00021886825561523438,28,True,46
80,random,0.05148816108703613,9076,True,46
80,mrv,0.003983020782470703,0,True,46
81,sequential,0.00019025802612304688,18,True,47
81,random,0.15547418594360352,27587,True,47
81,mrv,0.004239559173583984,0,True,47
82,sequential,0.00025773048400878906,43,True,46
82,random,0.03513336181640625,6191,True,46
82,mrv,0.004052639007568359,0,True,46
83,sequential,0.0009212493896484375,294,True,44
83,random,0.8383626937866211,151277,True,44
83,mrv,0.0041925907135009766,0,True,44
84,sequential,0.0001583099365234375,8,True,43
84,random,0.0025811195373535156,400,True,43
84,mrv,0.006012439727783203,0,True,43
85,sequential,0.0003542900085449219,33,True,44
85,random,0.1288142204284668,20883,True,44
85,mrv,0.004272937774658203,0,True,44
86,sequential,0.0006518363952636719,165,True,44
86,random,0.8236918449401855,148838,True,44
86,mrv,0.004158496856689453,0,True,44
87,sequential,0.00022363662719726562,31,True,48
87,random,0.04300808906555176,7678,True,48
87,mrv,0.004254341125488281,0,True,48
88,sequential,0.0011532306671142578,359,True,46
88,random,0.07928586006164551,14049,True,46
88,mrv,0.004048585891723633,0,True,46
89,sequential,0.000514984130859375,129,True,47
89,random,1.471372365951538,266427,True,47
89,mrv,0.004469156265258789,0,True,47
90,sequential,0.0007586479187011719,183,True,50
90,random,2.694338798522949,476585,True,50
90,mrv,0.005301237106323242,0,True,50
91,sequential,0.00035452842712402344,80,True,44
91,random,0.15382933616638184,27838,True,44
91,mrv,0.003931283950805664,0,True,44
92,sequential,0.0003314018249511719,72,True,48
92,random,0.11895895004272461,21030,True,48
92,mrv,0.004332304000854492,0,True,48
93,sequential,0.00022077560424804688,31,True,46
93,random,0.2375345230102539,42949,True,46
93,mrv,0.004114627838134766,0,True,46
94,sequential,0.00020694732666015625,31,True,45
94,random,0.0800178050994873,14362,True,45
94,mrv,0.004189968109130859,0,True,45
95,sequential,0.0005543231964111328,143,True,46
95,random,0.070953369140625,12651,True,46
95,mrv,0.0038568973541259766,0,True,46
96,sequential,0.0002799034118652344,50,True,47
96,random,0.0415647029876709,7350,True,47
96,mrv,0.004050731658935547,0,True,47
97,sequential,0.0002925395965576172,53,True,45
97,random,0.052197933197021484,9340,True,45
97,mrv,0.005031585693359375,0,True,45
98,sequential,0.00019931793212890625,23,True,47
98,random,0.08540964126586914,15463,True,47
98,mrv,0.004537105560302734,0,True,47
99,sequential,0.00016736984252929688,12,True,47
99,random,0.54563307762146,95526,True,47
99,mrv,0.00423741340637207,0,True,47
100,sequential,0.0003886222839355469,91,True,47
100,random,0.10556697845458984,18655,True,47
100,mrv,0.00400996208190918,0,True,47
101,sequential,0.00021600723266601562,30,True,40
101,random,0.029743194580078125,5355,True,40
101,mrv,0.0034880638122558594,0,True,40
102,sequential,0.0001308917999267578,1,True,47
102,random,0.01813340187072754,3272,True,47
102,mrv,0.004053831100463867,0,True,47
103,sequential,0.0002624988555908203,46,True,43
103,random,0.07841038703918457,13821,True,43
103,mrv,0.0038671493530273438,0,True,43
104,sequential,0.00024175643920898438,36,True,47
104,random,0.07488608360290527,13199,True,47
104,mrv,0.0038917064666748047,0,True,47
105,sequential,0.0001709461212158203,12,True,48
105,random,0.1444840431213379,25785,True,48
105,mrv,0.004382610321044922,0,True,48
106,sequential,0.0001697540283203125,15,True,47
106,random,0.04870772361755371,8718,True,47
106,mrv,0.003975868225097656,0,True,47
107,sequential,0.00017523765563964844,15,True,46
107,random,0.013813018798828125,2443,True,46
107,mrv,0.0038063526153564453,0,True,46
108,sequential,0.0010714530944824219,306,True,47
108,random,0.3282356262207031,59616,True,47
108,mrv,0.0039119720458984375,0,True,47
109,sequential,0.0004248619079589844,93,True,45
109,random,0.020839452743530273,3755,True,45
109,mrv,0.003985166549682617,0,True,45
110,sequential,0.0005233287811279297,121,True,48
110,random,1.2317140102386475,219747,True,48
110,mrv,0.004639148712158203,0,True,48
111,sequential,0.0005693435668945312,136,True,50
111,random,0.23390603065490723,41820,True,50
111,mrv,0.0045282840728759766,0,True,50
112,sequential,0.00014519691467285156,4,True,47
112,random,0.05959630012512207,10563,True,47
112,mrv,0.00409698486328125,0,True,47
113,sequential,0.0006015300750732422,183,True,42
113,random,0.2519242763519287,45140,True,42
113,mrv,0.004034519195556641,0,True,42
114,sequential,0.000274658203125,39,True,46
114,random,0.3040299415588379,53730,True,46
114,mrv,0.004164218902587891,0,True,46
115,sequential,0.00042510032653808594,99,True,47
115,random,0.12640881538391113,22599,True,47
115,mrv,0.004126310348510742,0,True,47
116,sequential,0.00016832351684570312,12,True,48
116,random,0.14487290382385254,25890,True,48
116,mrv,0.004356861114501953,0,True,48
117,sequential,0.00018310546875,21,True,45
117,random,0.019472599029541016,3519,True,45
117,mrv,0.003876209259033203,0,True,45
118,sequential,0.0009551048278808594,250,True,45
118,random,0.0767066478729248,14203,True,45
118,mrv,0.004002809524536133,0,True,45
119,sequential,0.0003235340118408203,60,True,46
119,random,0.22596478462219238,40094,True,46
119,mrv,0.003983259201049805,0,True,46
120,sequential,0.00017571449279785156,14,True,48
120,random,0.7022228240966797,126074,True,48
120,mrv,0.004335880279541016,0,True,48
121,sequential,0.0010383129119873047,296,True,48
121,random,0.9862668514251709,176378,True,48
121,mrv,0.004315853118896484,0,True,48
122,sequential,0.0008363723754882812,256,True,45
122,random,0.21167254447937012,38003,True,45
122,mrv,0.004004955291748047,0,True,45
123,sequential,0.0001690387725830078,14,True,44
123,random,0.03815412521362305,6762,True,44
123,mrv,0.004361152648925781,0,True,44
124,sequential,0.00015854835510253906,11,True,47
124,random,0.11522841453552246,20592,True,47
124,mrv,0.004182100296020508,0,True,47
125,sequential,0.0002110004425048828,28,True,46
125,random,0.02171492576599121,3965,True,46
125,mrv,0.004056453704833984,0,True,46
126,sequential,0.00030684471130371094,49,True,48
126,random,0.14671921730041504,25952,True,48
126,mrv,0.004327535629272461,0,True,48
127,sequential,0.0011646747589111328,368,True,46
127,random,0.027251005172729492,4850,True,46
127,mrv,0.004236698150634766,0,True,46
128,sequential,0.00016808509826660156,10,True,45
128,random,0.07168722152709961,12568,True,45
128,mrv,0.0040814876556396484,0,True,45
129,sequential,0.0003979206085205078,90,True,45
129,random,0.022030353546142578,3979,True,45
129,mrv,0.003880739212036133,0,True,45
130,sequential,0.000263214111328125,40,True,45
